epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.3570237895954635,4.3703322818136625,0.0,0.025,0.735,0.5,0.25,0.08,0.075,0.04,0.27,0.15
2,3.8620683004933607,3.855751585756612,0.0,0.06,0.82,0.675,0.475,0.24,0.175,0.125,0.48,0.34
3,3.631661618872765,3.629863021720169,0.0,0.08,0.88,0.655,0.455,0.265,0.205,0.135,0.53,0.385
4,3.4485294916889635,3.441484642843915,0.0,0.1,0.9,0.715,0.505,0.295,0.19,0.15,0.605,0.41
5,3.2960307892148397,3.2912362110920443,0.0,0.105,0.91,0.75,0.52,0.305,0.285,0.155,0.59,0.445
6,3.1680876100952267,3.17952194580665,0.0,0.09,0.88,0.76,0.535,0.32,0.26,0.16,0.65,0.48
7,3.0558864477715573,3.1112930530156846,0.0,0.11,0.9,0.75,0.56,0.345,0.27,0.17,0.595,0.475
8,2.9603884454894933,3.069985715751974,0.0,0.095,0.91,0.755,0.535,0.335,0.25,0.165,0.64,0.475
9,2.8664090813459904,3.025576815645919,0.0,0.095,0.885,0.755,0.555,0.355,0.275,0.165,0.635,0.465
10,2.7932593701674424,3.0338655333233695,0.0,0.1,0.895,0.78,0.59,0.345,0.24,0.14,0.605,0.485
11,2.7210934955348933,2.941447399620317,0.0,0.11,0.925,0.77,0.57,0.365,0.24,0.16,0.65,0.465
12,2.660598101169156,2.945289600608695,0.0,0.105,0.845,0.77,0.59,0.335,0.255,0.145,0.615,0.48
13,2.5957555344638132,2.9410601100351057,0.0,0.12,0.91,0.76,0.535,0.34,0.245,0.17,0.62,0.47
14,2.5408880106577683,2.9089728970812936,0.0,0.125,0.88,0.745,0.535,0.345,0.27,0.16,0.605,0.455
15,2.4870425173247064,2.9116112095677953,0.0,0.115,0.93,0.72,0.54,0.35,0.265,0.195,0.64,0.455
16,2.4438274376251043,2.9035226616085086,0.0,0.135,0.9,0.785,0.535,0.33,0.285,0.175,0.665,0.44
17,2.3981180098726917,2.938808585843469,0.0,0.125,0.945,0.705,0.545,0.33,0.265,0.175,0.63,0.47
18,2.3578852567800372,2.94950126684629,0.0,0.115,0.88,0.78,0.565,0.325,0.265,0.17,0.595,0.425
19,2.3203617384511244,2.894516731938745,0.0,0.11,0.895,0.755,0.57,0.315,0.235,0.18,0.6,0.435
20,2.2806686698592644,2.9319885317076984,0.0,0.11,0.91,0.78,0.6,0.31,0.23,0.165,0.62,0.435
21,2.2459081862670285,2.9176534230892477,0.0,0.105,0.905,0.78,0.57,0.315,0.265,0.19,0.6,0.45
22,2.209809545121275,2.9365027541788216,0.0,0.095,0.885,0.755,0.55,0.325,0.21,0.15,0.585,0.435
23,2.175279233583301,2.9528394978270573,0.0,0.105,0.83,0.75,0.49,0.32,0.235,0.155,0.6,0.415
24,2.14757055910322,2.958200204066741,0.0,0.1,0.89,0.7,0.525,0.29,0.235,0.125,0.605,0.42
25,2.122482041100015,2.9189136058856278,0.0,0.11,0.905,0.77,0.54,0.285,0.235,0.145,0.6,0.415
26,2.093783913333375,2.998969672072647,0.0,0.105,0.885,0.705,0.53,0.265,0.23,0.13,0.6,0.415
27,2.0654132220302897,2.978913942972819,0.0,0.105,0.895,0.75,0.57,0.285,0.2,0.165,0.605,0.415
28,2.040304423062341,2.9524195133111415,0.0,0.1,0.865,0.73,0.515,0.28,0.235,0.15,0.585,0.405
29,2.018938590759985,2.96709996003371,0.0,0.11,0.92,0.75,0.515,0.29,0.24,0.18,0.575,0.435
