epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.87662605992679,4.873297434586745,0.0,0.005,0.47,0.29,0.13,0.025,0.01,0.01,0.1,0.04
2,4.662276161128077,4.8607318217937765,0.0,0.005,0.425,0.295,0.095,0.03,0.02,0.005,0.11,0.055
3,4.227297941158557,4.835615378159743,0.0,0.005,0.475,0.27,0.11,0.03,0.015,0.01,0.11,0.055
4,3.9265068974988213,4.76804674588717,0.0,0.015,0.53,0.33,0.11,0.04,0.035,0.02,0.135,0.07
5,3.746425620440779,4.635911978208101,0.0,0.02,0.67,0.415,0.175,0.075,0.055,0.03,0.2,0.13
6,3.605966467281868,4.45372225688054,0.0,0.035,0.735,0.51,0.29,0.1,0.08,0.055,0.29,0.16
7,3.495141999474887,4.26027617087731,0.0,0.055,0.785,0.6,0.35,0.15,0.13,0.075,0.39,0.23
8,3.38163370099561,4.085023623246413,0.0,0.075,0.875,0.695,0.465,0.215,0.145,0.105,0.5,0.34
9,3.2788633909718743,3.9506159012134257,0.0,0.105,0.89,0.715,0.595,0.275,0.215,0.16,0.62,0.43
10,3.1958727795502235,3.8374548875368557,0.0,0.14,0.935,0.79,0.58,0.325,0.25,0.185,0.695,0.5
11,3.095262215055268,3.7473960106189432,0.0,0.16,0.91,0.855,0.69,0.375,0.315,0.215,0.7,0.535
12,3.0103291601970277,3.6746618564312277,0.0,0.175,0.985,0.825,0.655,0.44,0.325,0.255,0.76,0.585
13,2.9216657239815285,3.6101189393263597,0.0,0.19,0.935,0.85,0.75,0.49,0.385,0.32,0.795,0.63
14,2.8264286230350364,3.55949251468365,0.0,0.215,0.935,0.86,0.68,0.5,0.405,0.315,0.795,0.62
15,2.743383093126889,3.51249045592088,0.0,0.235,0.955,0.875,0.685,0.545,0.425,0.325,0.795,0.645
16,2.665280975144485,3.468440220906184,0.0,0.24,0.955,0.87,0.75,0.56,0.415,0.32,0.815,0.68
17,2.573816657066345,3.4327759375939,0.0,0.26,0.935,0.905,0.735,0.565,0.42,0.34,0.81,0.705
18,2.4917342498384674,3.398764812029325,0.0,0.285,0.96,0.88,0.735,0.595,0.515,0.37,0.84,0.72
19,2.4046189908323616,3.365797941501324,0.0,0.3,0.975,0.895,0.76,0.605,0.465,0.37,0.83,0.715
20,2.3166020594794174,3.335931191077599,0.0,0.3,0.99,0.87,0.745,0.615,0.5,0.385,0.84,0.735
21,2.2386191795612205,3.311621299156776,0.0,0.305,0.935,0.915,0.78,0.635,0.53,0.385,0.855,0.755
22,2.142555576973948,3.2906721188471866,0.0,0.305,0.975,0.87,0.785,0.635,0.51,0.39,0.855,0.745
23,2.056523706378608,3.2694533238044152,0.0,0.305,0.97,0.9,0.77,0.64,0.51,0.4,0.855,0.76
24,1.972438043561475,3.2451253670912523,0.0,0.31,0.955,0.87,0.79,0.665,0.525,0.4,0.88,0.755
25,1.8904465108082211,3.2280618044046254,0.0,0.335,0.935,0.865,0.79,0.665,0.555,0.43,0.88,0.775
26,1.8053435744910404,3.2110981941223145,0.0,0.325,0.945,0.91,0.8,0.675,0.535,0.45,0.865,0.77
27,1.7231584150215675,3.195924392113319,0.0,0.335,0.96,0.925,0.81,0.685,0.54,0.395,0.875,0.79
28,1.637911110088743,3.184090632658738,0.0,0.35,0.97,0.91,0.82,0.685,0.525,0.44,0.87,0.79
29,1.55741102942105,3.1711355539468618,0.0,0.34,0.96,0.91,0.785,0.7,0.555,0.44,0.885,0.795
30,1.486162476498505,3.1617724895477295,0.0,0.355,0.965,0.905,0.775,0.69,0.54,0.46,0.87,0.795
31,1.411316223185638,3.154044132966262,0.0,0.355,0.97,0.945,0.805,0.71,0.545,0.435,0.89,0.8
32,1.3344258717421829,3.147447971197275,0.0,0.34,0.97,0.895,0.795,0.71,0.575,0.415,0.87,0.815
33,1.263812212080791,3.1428612012129564,0.0,0.345,0.975,0.92,0.845,0.71,0.54,0.445,0.895,0.81
34,1.1903139085605228,3.1388237109551063,0.0,0.36,0.965,0.89,0.81,0.71,0.58,0.48,0.88,0.82
35,1.1318941645581146,3.1381921217991757,0.0,0.345,0.965,0.93,0.82,0.69,0.585,0.45,0.87,0.81
36,1.0550119481210052,3.141396925999568,0.0,0.355,0.955,0.92,0.845,0.71,0.58,0.5,0.905,0.83
37,0.9989125836512138,3.143717178931603,0.0,0.35,0.97,0.93,0.795,0.71,0.565,0.475,0.895,0.81
38,0.9334243936785336,3.1428076854118934,0.0,0.35,0.965,0.93,0.805,0.715,0.595,0.465,0.885,0.82
39,0.8884360291834535,3.146123537650475,0.0,0.35,0.98,0.935,0.805,0.71,0.555,0.49,0.9,0.81
40,0.8292172047598608,3.1514289745917687,0.0,0.345,0.98,0.925,0.795,0.7,0.585,0.435,0.865,0.81
