epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,5.373580734979235,4.856731688004195,0.0,0.005,0.45,0.23,0.095,0.03,0.015,0.015,0.105,0.065
2,4.327262844756865,4.116052786679739,0.0,0.045,0.835,0.605,0.41,0.235,0.165,0.095,0.485,0.35
3,3.9620240334398256,3.8320013279566947,0.0,0.09,0.845,0.645,0.485,0.25,0.195,0.13,0.49,0.34
4,3.709015374370471,3.7140567857820077,0.0,0.09,0.875,0.66,0.41,0.24,0.2,0.14,0.485,0.355
5,3.5096868145027287,3.6770075099151023,0.0,0.08,0.835,0.675,0.425,0.225,0.19,0.135,0.505,0.335
6,3.3396384148180798,3.6849950930591304,0.0,0.095,0.845,0.67,0.425,0.225,0.195,0.135,0.485,0.32
7,3.1876406965219286,3.715463891561451,0.0,0.095,0.86,0.615,0.47,0.205,0.19,0.13,0.45,0.3
8,3.0481787430744562,3.760053432038925,0.0,0.095,0.8,0.665,0.42,0.22,0.17,0.125,0.5,0.315
9,2.924643161190906,3.8177009733961373,0.0,0.1,0.82,0.605,0.425,0.205,0.165,0.135,0.485,0.335
10,2.8157429242897307,3.873326955435102,0.0,0.095,0.82,0.62,0.355,0.205,0.175,0.12,0.485,0.325
11,2.7167361933707737,3.9348221715427774,0.0,0.09,0.845,0.67,0.445,0.22,0.195,0.115,0.495,0.335
12,2.628242721297897,4.002260342688008,0.0,0.105,0.8,0.655,0.43,0.21,0.185,0.13,0.49,0.32
13,2.5479767454109066,4.069880050139366,0.0,0.105,0.82,0.65,0.425,0.22,0.195,0.15,0.495,0.315
14,2.4761593534054507,4.129165676018711,0.0,0.095,0.76,0.64,0.455,0.21,0.16,0.14,0.465,0.305
15,2.41224666653896,4.194343961871233,0.0,0.085,0.835,0.64,0.4,0.23,0.165,0.14,0.485,0.325
