epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,8.47885099944248,7.838549045416025,0.0,0.01,0.51,0.25,0.115,0.025,0.02,0.015,0.1,0.055
2,5.178216089228148,5.609530861561115,0.0,0.005,0.505,0.2,0.11,0.025,0.015,0.015,0.105,0.055
3,5.0454299290974935,5.056713791993948,0.0,0.005,0.465,0.235,0.085,0.025,0.025,0.01,0.11,0.045
4,4.976864721441782,4.917018872040969,0.0,0.005,0.5,0.265,0.11,0.03,0.015,0.01,0.1,0.055
5,4.942284311274046,4.876997149907625,0.0,0.005,0.515,0.215,0.085,0.025,0.02,0.01,0.095,0.055
6,4.821968015034994,4.863879478894747,0.0,0.005,0.51,0.275,0.11,0.035,0.015,0.02,0.125,0.06
7,4.526538937066191,4.823639126924368,0.0,0.01,0.685,0.425,0.195,0.055,0.03,0.025,0.21,0.09
8,4.287215396409394,4.702569833168616,0.0,0.045,0.82,0.59,0.39,0.165,0.12,0.075,0.41,0.28
9,4.046873598201301,4.547838843785799,0.0,0.085,0.855,0.69,0.41,0.22,0.19,0.12,0.505,0.35
10,3.7129168207927417,4.398594273970677,0.0,0.095,0.875,0.68,0.49,0.225,0.17,0.125,0.58,0.39
11,3.222722730841688,4.316099529082958,0.0,0.095,0.845,0.705,0.535,0.27,0.18,0.165,0.595,0.44
12,2.5719000501017417,4.351786851882935,0.0,0.09,0.87,0.75,0.545,0.3,0.235,0.15,0.615,0.455
13,1.8816331353238833,4.547286290388841,0.0,0.105,0.88,0.73,0.49,0.275,0.24,0.17,0.58,0.425
14,1.325355101400806,4.93334055863894,0.0,0.105,0.89,0.73,0.55,0.275,0.215,0.15,0.585,0.405
15,0.9282339042232882,5.489800572395325,0.0,0.1,0.865,0.68,0.49,0.295,0.235,0.16,0.555,0.42
16,0.6913182093251136,6.164518567231985,0.0,0.095,0.865,0.73,0.485,0.28,0.215,0.135,0.56,0.4
17,0.5443318381745328,6.8525206950994635,0.0,0.085,0.865,0.695,0.505,0.28,0.2,0.135,0.55,0.4
18,0.4713463940607604,7.444567130162166,0.0,0.085,0.83,0.73,0.455,0.255,0.19,0.135,0.55,0.43
19,0.40375230039960597,7.922255075894869,0.0,0.08,0.83,0.675,0.475,0.255,0.2,0.11,0.565,0.4
20,0.35646982035970176,8.314655368144695,0.0,0.08,0.805,0.67,0.485,0.245,0.19,0.125,0.535,0.41
21,0.33039316983633144,8.613414782744188,0.0,0.08,0.83,0.66,0.455,0.24,0.19,0.12,0.535,0.405
