epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,95.74121185630881,79.58697634476881,0.0,0.005,0.49,0.25,0.09,0.025,0.02,0.01,0.1,0.045
2,78.6463376773301,71.28020851428693,0.0,0.005,0.495,0.25,0.105,0.025,0.015,0.01,0.105,0.055
3,68.96305608441753,63.246534200815056,0.0,0.005,0.52,0.225,0.11,0.025,0.02,0.01,0.11,0.055
4,62.063728627850935,56.710535342876724,0.0,0.005,0.5,0.245,0.11,0.025,0.035,0.01,0.105,0.05
5,56.37012247885427,51.32825979819665,0.0,0.005,0.455,0.245,0.095,0.025,0.015,0.005,0.11,0.05
6,51.1849979933872,46.81675100326538,0.0,0.005,0.525,0.265,0.09,0.025,0.015,0.015,0.085,0.04
7,46.69476805656187,42.99046388039222,0.0,0.005,0.495,0.25,0.13,0.025,0.03,0.01,0.105,0.06
8,42.88981010683121,39.635230394510124,0.0,0.005,0.525,0.22,0.105,0.025,0.015,0.01,0.085,0.055
9,39.469632236931915,36.651941116039566,0.0,0.005,0.485,0.265,0.08,0.025,0.01,0.015,0.09,0.05
10,36.33483718133742,33.94311629808866,0.0,0.005,0.54,0.29,0.11,0.025,0.025,0.015,0.12,0.055
11,33.485677362257434,31.471431035261887,0.0,0.005,0.52,0.28,0.11,0.025,0.03,0.01,0.085,0.06
12,30.832954624135006,29.178082429445706,0.0,0.005,0.475,0.27,0.105,0.025,0.025,0.01,0.095,0.045
13,28.554533406739594,27.075968742370605,0.0,0.005,0.515,0.3,0.1,0.025,0.025,0.01,0.11,0.055
14,26.43901681797479,25.190949256603535,0.0,0.005,0.505,0.235,0.12,0.025,0.025,0.015,0.105,0.06
15,24.395670322705342,23.471226142002987,0.0,0.005,0.445,0.27,0.075,0.02,0.025,0.01,0.11,0.06
16,22.68000247914304,21.905693292617798,0.0,0.005,0.51,0.245,0.095,0.025,0.025,0.015,0.12,0.05
17,20.99497467779344,20.444304081109856,0.0,0.005,0.5,0.28,0.09,0.025,0.025,0.015,0.105,0.05
18,19.66080554634012,19.127438380168034,0.0,0.005,0.51,0.255,0.13,0.025,0.025,0.015,0.115,0.065
19,18.197551313010596,17.905830658399143,0.0,0.005,0.525,0.245,0.1,0.025,0.01,0.005,0.11,0.06
20,16.933448006004415,16.752341453845684,0.0,0.005,0.515,0.25,0.08,0.025,0.02,0.005,0.11,0.045
21,15.799592861052483,15.694596914144663,0.0,0.005,0.51,0.26,0.085,0.03,0.025,0.01,0.11,0.055
22,14.765230582862772,14.724699900700497,0.0,0.005,0.53,0.29,0.12,0.03,0.03,0.01,0.12,0.055
23,13.792535986951602,13.81337989293612,0.0,0.005,0.505,0.24,0.1,0.03,0.015,0.015,0.085,0.05
24,12.90642287756807,12.989192284070528,0.0,0.005,0.53,0.275,0.115,0.03,0.025,0.01,0.1,0.05
25,12.143111030004357,12.232960664308989,0.0,0.005,0.53,0.245,0.095,0.03,0.035,0.01,0.11,0.065
26,11.395789265376266,11.530934994037334,0.0,0.005,0.5,0.225,0.11,0.03,0.015,0.005,0.11,0.06
27,10.71482537792575,10.882244907892668,0.0,0.005,0.575,0.26,0.105,0.03,0.025,0.01,0.11,0.05
28,10.124017532922888,10.294192974384014,0.0,0.005,0.525,0.265,0.12,0.03,0.015,0.01,0.125,0.065
29,9.545414674410257,9.741395968657274,0.0,0.005,0.55,0.27,0.14,0.03,0.025,0.015,0.11,0.06
30,9.01799443152643,9.233379969230064,0.0,0.005,0.565,0.265,0.105,0.03,0.03,0.01,0.125,0.055
31,8.55651664631341,8.764381041893593,0.0,0.005,0.53,0.28,0.125,0.03,0.02,0.015,0.115,0.06
32,8.123880579138316,8.33935154401339,0.0,0.005,0.535,0.27,0.115,0.03,0.02,0.015,0.1,0.045
33,7.75903240634549,7.952412669475262,0.0,0.005,0.515,0.275,0.12,0.03,0.015,0.01,0.12,0.06
34,7.387808261379119,7.593965218617366,0.0,0.005,0.54,0.275,0.11,0.035,0.045,0.01,0.115,0.06
35,7.064375430281444,7.264032299701984,0.0,0.01,0.54,0.27,0.135,0.035,0.025,0.015,0.11,0.055
36,6.76857717985748,6.96559281532581,0.0,0.01,0.565,0.3,0.1,0.035,0.02,0.01,0.11,0.075
37,6.507904450611401,6.691648868414072,0.0,0.01,0.61,0.33,0.13,0.035,0.03,0.015,0.11,0.065
38,6.284126600655176,6.443923253279466,0.0,0.01,0.56,0.32,0.155,0.035,0.03,0.01,0.125,0.07
39,6.060681628155452,6.2190703978905315,0.0,0.01,0.535,0.29,0.125,0.035,0.025,0.02,0.125,0.075
40,5.870853076442596,6.015142349096445,0.0,0.01,0.575,0.355,0.145,0.035,0.035,0.025,0.15,0.06
41,5.698996126523582,5.831097657863911,0.0,0.01,0.575,0.35,0.13,0.035,0.025,0.02,0.14,0.075
42,5.540886436995639,5.665799140930176,0.0,0.01,0.575,0.38,0.155,0.045,0.045,0.025,0.165,0.085
43,5.402560576572213,5.517124130175664,0.0,0.02,0.6,0.36,0.17,0.045,0.035,0.02,0.175,0.08
44,5.282374585059381,5.383480713917659,0.0,0.02,0.555,0.39,0.185,0.045,0.04,0.02,0.145,0.095
45,5.179476220120666,5.264359685090872,0.0,0.02,0.575,0.32,0.135,0.05,0.065,0.02,0.17,0.1
46,5.075255532418528,5.1584137403048,0.0,0.02,0.64,0.39,0.165,0.055,0.04,0.02,0.19,0.1
47,4.995281830654349,5.063801637062659,0.0,0.02,0.63,0.345,0.225,0.055,0.035,0.03,0.195,0.12
48,4.915233150605233,4.979935095860408,0.0,0.02,0.615,0.36,0.18,0.055,0.04,0.04,0.21,0.095
49,4.844364267779935,4.904386217777546,0.0,0.02,0.655,0.43,0.2,0.055,0.04,0.03,0.205,0.115
50,4.784114386445733,4.836084925211393,0.0,0.025,0.675,0.385,0.195,0.055,0.035,0.03,0.235,0.115
51,4.729993989390712,4.7760569499089165,0.0,0.02,0.7,0.455,0.2,0.06,0.07,0.045,0.21,0.16
52,4.6795494541045155,4.722968835097093,0.0,0.02,0.64,0.43,0.23,0.07,0.105,0.04,0.24,0.145
53,4.639158611912881,4.677326303261977,0.0,0.02,0.65,0.435,0.21,0.09,0.07,0.045,0.245,0.16
54,4.599497509002686,4.63254911165971,0.0,0.02,0.66,0.47,0.29,0.1,0.055,0.025,0.265,0.155
55,4.564607427453482,4.594115238923293,0.0,0.02,0.745,0.445,0.24,0.11,0.08,0.045,0.235,0.185
56,4.532137085289084,4.5597013876988335,0.0,0.02,0.7,0.495,0.265,0.125,0.095,0.045,0.27,0.19
57,4.510963973178659,4.52847081881303,0.0,0.02,0.765,0.52,0.32,0.13,0.11,0.045,0.295,0.215
58,4.474665045994584,4.501409081312326,0.0,0.02,0.745,0.54,0.325,0.13,0.085,0.055,0.31,0.205
59,4.455195973509102,4.476692896622878,0.0,0.02,0.75,0.505,0.315,0.13,0.105,0.03,0.305,0.205
60,4.434315426118912,4.4549913589770975,0.0,0.02,0.72,0.515,0.3,0.13,0.115,0.045,0.33,0.225
