epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.715271586615448,4.357076091827753,0.0,0.04,0.76,0.615,0.345,0.15,0.135,0.06,0.39,0.245
2,4.343457345693691,4.235803914172455,0.0,0.035,0.805,0.595,0.395,0.17,0.16,0.085,0.46,0.32
3,4.253013585323474,4.19073068277007,0.0,0.04,0.815,0.625,0.385,0.23,0.12,0.1,0.465,0.33
4,4.200742428916753,4.165196142994795,0.0,0.045,0.83,0.675,0.45,0.235,0.19,0.08,0.495,0.335
5,4.163207109385681,4.14560564086161,0.0,0.05,0.83,0.66,0.47,0.24,0.185,0.095,0.47,0.36
6,4.134422696895481,4.133472836068772,0.0,0.055,0.835,0.675,0.405,0.24,0.17,0.115,0.51,0.345
7,4.114343665401388,4.1235001614165405,0.0,0.045,0.845,0.59,0.39,0.225,0.2,0.085,0.52,0.34
8,4.094021507273208,4.113334832784956,0.0,0.045,0.865,0.695,0.405,0.22,0.19,0.075,0.505,0.305
9,4.079126313207711,4.107543435731159,0.0,0.035,0.86,0.62,0.395,0.21,0.18,0.07,0.5,0.335
10,4.064469498934156,4.103061848955605,0.0,0.045,0.82,0.635,0.455,0.22,0.16,0.07,0.485,0.335
11,4.05501534337355,4.09891307916764,0.0,0.05,0.85,0.66,0.425,0.215,0.12,0.075,0.53,0.375
12,4.042248703507334,4.095962331530362,0.0,0.045,0.805,0.65,0.505,0.22,0.125,0.1,0.49,0.385
13,4.032554675390204,4.092949860085745,0.0,0.04,0.805,0.65,0.42,0.23,0.175,0.1,0.495,0.35
14,4.023862303072223,4.0920537126934065,0.0,0.045,0.825,0.645,0.45,0.22,0.16,0.085,0.51,0.325
15,4.01675232870409,4.08874780886163,0.0,0.045,0.8,0.635,0.445,0.21,0.16,0.07,0.505,0.31
16,4.009712417901445,4.088400450898854,0.0,0.05,0.83,0.625,0.41,0.21,0.175,0.1,0.49,0.33
17,4.0018305256784785,4.086443647806225,0.0,0.045,0.805,0.6,0.385,0.2,0.15,0.095,0.485,0.315
18,3.9967587245347906,4.085143346643243,0.0,0.05,0.82,0.64,0.425,0.23,0.165,0.1,0.475,0.35
19,3.9903862659178224,4.084406563652432,0.0,0.045,0.825,0.67,0.44,0.2,0.12,0.095,0.49,0.355
20,3.9857045007674703,4.083475153845267,0.0,0.05,0.82,0.63,0.43,0.215,0.14,0.09,0.46,0.355
21,3.9795651149932016,4.082751160527503,0.0,0.045,0.765,0.625,0.43,0.205,0.155,0.09,0.47,0.315
22,3.9739168316225544,4.082332766107224,0.0,0.045,0.825,0.625,0.44,0.225,0.165,0.115,0.49,0.34
23,3.969269050061845,4.083169062761789,0.0,0.05,0.83,0.66,0.415,0.22,0.185,0.095,0.475,0.35
