epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,5.592074172727523,5.185589671134949,0.0,0.0,0.595,0.3,0.155,0.06,0.045,0.015,0.195,0.11
2,4.574739358758413,5.351410058828501,0.0,0.02,0.81,0.585,0.365,0.155,0.1,0.06,0.38,0.255
3,4.2667624842736025,4.768199132038997,0.0,0.05,0.855,0.75,0.51,0.28,0.22,0.12,0.55,0.425
4,4.0512611732688,4.525348727519695,0.0,0.11,0.885,0.76,0.585,0.3,0.25,0.16,0.63,0.46
5,3.88375454666794,4.405120734985058,0.0,0.13,0.92,0.775,0.605,0.395,0.285,0.205,0.715,0.54
6,3.740933645412486,4.337259402641883,0.0,0.125,0.93,0.79,0.63,0.42,0.325,0.195,0.71,0.515
7,3.6207656624496622,4.297490106179164,0.0,0.13,0.895,0.76,0.585,0.425,0.315,0.21,0.7,0.52
8,3.513870487418226,4.2779876085428095,0.0,0.135,0.925,0.85,0.62,0.435,0.33,0.225,0.68,0.53
9,3.4127741280422415,4.26514103779426,0.0,0.135,0.9,0.815,0.61,0.435,0.3,0.26,0.705,0.57
10,3.323890857799079,4.265305303610289,0.0,0.12,0.89,0.775,0.625,0.42,0.325,0.245,0.7,0.535
11,3.2486256343062205,4.27215680709252,0.0,0.125,0.91,0.795,0.595,0.42,0.295,0.19,0.65,0.49
12,3.1698426395334223,4.282553649865664,0.0,0.15,0.905,0.81,0.58,0.41,0.28,0.23,0.625,0.525
13,3.09813253495001,4.301965282513545,0.0,0.145,0.92,0.755,0.615,0.4,0.35,0.2,0.625,0.49
14,3.0419622657119585,4.3195733565550585,0.0,0.135,0.91,0.71,0.57,0.385,0.31,0.215,0.66,0.505
15,2.9759287562421575,4.33618734891598,0.0,0.12,0.915,0.795,0.56,0.385,0.295,0.21,0.65,0.48
16,2.9303301985545827,4.357744597471678,0.0,0.115,0.88,0.75,0.54,0.36,0.295,0.195,0.66,0.475
17,2.8703166525851014,4.382066951348231,0.0,0.1,0.9,0.755,0.56,0.36,0.26,0.2,0.615,0.445
18,2.8284239999709593,4.403647106427413,0.0,0.115,0.88,0.785,0.53,0.35,0.24,0.195,0.61,0.445
19,2.781688165664673,4.428409576416016,0.0,0.11,0.9,0.76,0.58,0.355,0.28,0.19,0.63,0.445
