epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.168791710302748,4.173560857772827,0.0,0.005,0.465,0.215,0.085,0.03,0.015,0.005,0.095,0.045
2,3.779808812100312,4.1522188645142775,0.0,0.01,0.54,0.305,0.11,0.03,0.015,0.015,0.115,0.055
3,3.4682672671202956,4.0203441839951735,0.0,0.025,0.7,0.465,0.25,0.105,0.085,0.035,0.27,0.195
4,3.2185160044966072,3.791136466539823,0.0,0.035,0.77,0.51,0.32,0.125,0.07,0.05,0.355,0.215
5,2.9892735111302344,3.594725883924044,0.0,0.045,0.775,0.565,0.32,0.115,0.1,0.09,0.41,0.22
6,2.7456200729156364,3.4481100669273963,0.0,0.04,0.83,0.565,0.425,0.135,0.13,0.075,0.45,0.265
7,2.4770028457559388,3.3285169509740977,0.0,0.06,0.84,0.62,0.39,0.175,0.17,0.09,0.45,0.29
8,2.184675989479854,3.2398211039029636,0.0,0.06,0.815,0.605,0.435,0.185,0.155,0.085,0.445,0.325
9,1.9026941045604904,3.1846177027775693,0.0,0.055,0.825,0.64,0.4,0.195,0.12,0.095,0.48,0.305
10,1.6522202702431843,3.1604995819238515,0.0,0.055,0.8,0.655,0.4,0.195,0.195,0.095,0.49,0.32
11,1.4033592780088555,3.163955275829022,0.0,0.06,0.845,0.63,0.44,0.225,0.175,0.115,0.48,0.35
12,1.2019647007872318,3.187592341349675,0.0,0.07,0.85,0.665,0.445,0.24,0.175,0.1,0.5,0.33
13,1.0244355158045375,3.225908261079055,0.0,0.07,0.82,0.62,0.48,0.23,0.17,0.095,0.515,0.34
14,0.8664156771425543,3.2715087853945217,0.0,0.065,0.845,0.665,0.445,0.23,0.175,0.095,0.485,0.34
15,0.7445796466079252,3.3233217092660756,0.0,0.075,0.74,0.59,0.425,0.23,0.2,0.11,0.465,0.305
16,0.6357745893042663,3.377525659707876,0.0,0.065,0.81,0.65,0.425,0.25,0.19,0.12,0.49,0.34
17,0.5602406377679315,3.4319484325555654,0.0,0.065,0.82,0.59,0.45,0.245,0.185,0.135,0.47,0.315
18,0.49325312725428877,3.488705121553861,0.0,0.075,0.815,0.6,0.42,0.24,0.215,0.12,0.49,0.315
19,0.43569164787387027,3.5433619114068837,0.0,0.075,0.805,0.625,0.415,0.23,0.175,0.13,0.46,0.315
20,0.38354081724738254,3.5932941161669216,0.0,0.075,0.79,0.61,0.46,0.225,0.2,0.15,0.475,0.335
