epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,3.9862329823174547,3.870775558406191,0.0,0.02,0.645,0.405,0.18,0.06,0.055,0.03,0.245,0.12
2,3.3626643438061286,3.2683855566344038,0.0,0.07,0.85,0.545,0.39,0.175,0.16,0.09,0.405,0.28
3,2.872406881275897,2.7959809947934784,0.0,0.08,0.86,0.685,0.465,0.24,0.195,0.13,0.56,0.365
4,2.537711990318171,2.508804272172789,0.0,0.07,0.86,0.67,0.49,0.26,0.185,0.13,0.57,0.39
5,2.2624553854933662,2.3163784440494912,0.0,0.115,0.885,0.7,0.545,0.28,0.235,0.16,0.6,0.425
6,2.019837150605626,2.1919889572863926,0.0,0.14,0.855,0.75,0.495,0.325,0.25,0.205,0.6,0.435
7,1.8034905105245438,2.1331491393592734,0.0,0.12,0.85,0.72,0.5,0.29,0.27,0.16,0.635,0.44
8,1.5942606560875228,2.118530918088594,0.0,0.125,0.855,0.755,0.555,0.305,0.23,0.185,0.59,0.41
9,1.4147181432895324,2.139770973905473,0.0,0.125,0.875,0.685,0.53,0.315,0.255,0.19,0.615,0.44
10,1.238362348113855,2.194596661006944,0.0,0.145,0.875,0.75,0.54,0.305,0.285,0.185,0.61,0.43
11,1.0784332127845635,2.2630739493431453,0.0,0.135,0.845,0.675,0.5,0.315,0.26,0.2,0.56,0.395
12,0.9428790164688701,2.3493547720970516,0.0,0.12,0.845,0.7,0.485,0.325,0.285,0.175,0.555,0.405
13,0.829709389607871,2.4440931143167193,0.0,0.105,0.83,0.685,0.475,0.315,0.24,0.18,0.585,0.405
14,0.736334086233386,2.5446182550790484,0.0,0.115,0.865,0.71,0.48,0.295,0.205,0.175,0.52,0.4
15,0.6582486840508739,2.633460629651475,0.0,0.105,0.86,0.665,0.455,0.275,0.22,0.18,0.5,0.37
16,0.5970718893518416,2.6735767392129857,0.0,0.105,0.84,0.73,0.53,0.31,0.25,0.16,0.58,0.385
17,0.5351776819421638,2.6962600419449703,0.0,0.095,0.815,0.7,0.5,0.285,0.22,0.165,0.565,0.405
18,0.501778198574299,2.722851910304614,0.0,0.115,0.83,0.7,0.48,0.29,0.235,0.16,0.55,0.4
