epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,88.97668367611465,70.10732614077054,0.0,0.005,0.515,0.205,0.095,0.025,0.01,0.005,0.105,0.055
2,73.08466226721323,61.52213580791767,0.0,0.005,0.515,0.27,0.08,0.025,0.015,0.01,0.1,0.05
3,63.75634779571205,56.45625664637639,0.0,0.005,0.515,0.235,0.095,0.025,0.025,0.015,0.1,0.05
4,56.94713375132571,52.6896872153649,0.0,0.005,0.535,0.255,0.115,0.025,0.02,0.01,0.11,0.045
5,50.85310531123992,48.95554428834181,0.0,0.005,0.535,0.31,0.13,0.025,0.03,0.01,0.125,0.05
6,46.02670726160849,45.744233681605415,0.0,0.005,0.515,0.26,0.125,0.03,0.03,0.01,0.12,0.065
7,41.65510251855338,42.525679478278526,0.0,0.005,0.53,0.275,0.105,0.025,0.02,0.01,0.105,0.065
8,38.28087552388509,38.35639458436232,0.0,0.005,0.525,0.29,0.125,0.03,0.035,0.01,0.115,0.05
9,34.95904161186628,35.39430284500122,0.0,0.005,0.53,0.275,0.125,0.025,0.025,0.005,0.09,0.06
10,32.0525875132571,32.8319616317749,0.0,0.005,0.525,0.265,0.1,0.03,0.01,0.01,0.11,0.065
11,29.46743454471711,30.07763671875,0.0,0.01,0.535,0.28,0.095,0.025,0.02,0.015,0.12,0.055
12,27.151350845829132,27.899699467879074,0.0,0.01,0.53,0.265,0.105,0.025,0.025,0.015,0.115,0.05
13,25.157467249388336,25.690063329843376,0.0,0.005,0.495,0.255,0.095,0.025,0.015,0.015,0.1,0.045
14,23.092365342827254,23.868993227298443,0.0,0.005,0.545,0.24,0.11,0.025,0.025,0.01,0.1,0.045
15,21.546547530799785,22.04777772610004,0.0,0.01,0.515,0.275,0.105,0.025,0.03,0.015,0.12,0.05
16,19.910544069351687,20.477804605777447,0.0,0.005,0.495,0.25,0.11,0.025,0.025,0.015,0.095,0.05
17,18.44062539172429,19.05809050339919,0.0,0.005,0.51,0.275,0.125,0.025,0.02,0.015,0.11,0.05
18,17.161740126661076,17.811725011238686,0.0,0.005,0.5,0.25,0.09,0.025,0.015,0.005,0.115,0.055
19,15.97976772554459,16.651839531384983,0.0,0.005,0.475,0.28,0.105,0.025,0.02,0.015,0.1,0.065
20,14.843506039855301,15.559611723973202,0.0,0.005,0.53,0.25,0.125,0.025,0.02,0.01,0.095,0.05
21,13.809374070936634,14.63392972946167,0.0,0.005,0.5,0.255,0.135,0.025,0.02,0.015,0.11,0.055
22,12.93292072870398,13.755287060370812,0.0,0.005,0.495,0.245,0.115,0.025,0.01,0.01,0.1,0.055
23,12.078983565299742,12.896489766927866,0.0,0.005,0.505,0.245,0.09,0.025,0.02,0.015,0.105,0.045
24,11.308149354175855,12.172637664354765,0.0,0.005,0.53,0.25,0.135,0.025,0.015,0.015,0.095,0.06
25,10.545962276253649,11.409906240609976,0.0,0.015,0.535,0.305,0.1,0.03,0.025,0.025,0.08,0.05
26,9.922192862726027,10.775170527971708,0.0,0.01,0.535,0.265,0.095,0.025,0.02,0.015,0.145,0.04
27,9.337256600779872,10.195292839637169,0.0,0.005,0.495,0.285,0.115,0.025,0.02,0.005,0.11,0.05
28,8.961349206329674,9.882432882602398,0.0,0.005,0.515,0.25,0.125,0.025,0.025,0.005,0.12,0.045
29,8.343746614968905,9.229396224021912,0.0,0.005,0.515,0.26,0.105,0.03,0.025,0.015,0.125,0.05
30,7.863406181335449,8.680325911595272,0.0,0.005,0.49,0.26,0.115,0.03,0.02,0.015,0.115,0.04
31,7.428321026217553,8.210364424265348,0.0,0.005,0.545,0.23,0.145,0.03,0.02,0.015,0.15,0.055
32,7.070078433457241,7.789128872064444,0.0,0.005,0.52,0.28,0.11,0.03,0.025,0.005,0.13,0.055
33,6.730739761680685,7.405593349383428,0.0,0.005,0.55,0.305,0.105,0.03,0.02,0.005,0.09,0.065
34,6.424957269237887,7.078449671085064,0.0,0.005,0.525,0.26,0.11,0.03,0.04,0.015,0.11,0.065
35,6.148594628610919,6.768946986932021,0.0,0.005,0.545,0.24,0.13,0.03,0.025,0.015,0.135,0.05
36,5.898145235738447,6.485631557611319,0.0,0.005,0.56,0.29,0.115,0.03,0.02,0.01,0.125,0.06
37,5.677177549177601,6.248426116429842,0.0,0.005,0.54,0.31,0.155,0.03,0.02,0.01,0.11,0.065
38,5.47286454169981,6.011624143673823,0.0,0.005,0.585,0.3,0.15,0.03,0.025,0.015,0.145,0.05
39,5.285424694963681,5.81049147936014,0.0,0.005,0.6,0.33,0.16,0.03,0.03,0.02,0.145,0.065
40,5.126126216560282,5.623493964855488,0.0,0.005,0.58,0.28,0.125,0.03,0.02,0.01,0.145,0.07
41,4.979572502259285,5.457220068344703,0.0,0.005,0.525,0.305,0.15,0.03,0.035,0.015,0.145,0.065
42,4.852077747673117,5.312452160395109,0.0,0.005,0.575,0.31,0.135,0.035,0.02,0.01,0.15,0.085
43,4.736718241373698,5.173645964035621,0.0,0.005,0.61,0.28,0.115,0.035,0.035,0.02,0.14,0.06
44,4.639620071329096,5.057620378640982,0.0,0.005,0.61,0.305,0.12,0.035,0.025,0.02,0.13,0.075
45,4.544582064433764,4.9470624923706055,0.0,0.005,0.515,0.315,0.15,0.035,0.015,0.01,0.155,0.07
46,4.4664367306617,4.849364234850957,0.0,0.005,0.61,0.365,0.16,0.04,0.025,0.01,0.17,0.06
47,4.393486179844025,4.768193932679983,0.0,0.005,0.62,0.365,0.145,0.045,0.035,0.015,0.165,0.065
48,4.330107536110827,4.692026596802932,0.0,0.005,0.56,0.365,0.14,0.045,0.035,0.015,0.155,0.085
49,4.272696865758588,4.626186187450703,0.0,0.005,0.63,0.375,0.14,0.045,0.035,0.015,0.16,0.08
50,4.2274656141957925,4.567410221466651,0.0,0.005,0.66,0.395,0.145,0.04,0.045,0.02,0.175,0.1
51,4.18637713104166,4.516791362028855,0.0,0.005,0.625,0.37,0.2,0.045,0.035,0.03,0.19,0.095
52,4.149609478571081,4.470626555956327,0.0,0.005,0.645,0.38,0.18,0.045,0.03,0.02,0.18,0.095
53,4.11485914107292,4.431739133137923,0.0,0.005,0.685,0.425,0.185,0.045,0.035,0.02,0.19,0.105
54,4.083135022399246,4.396349544708546,0.0,0.005,0.64,0.365,0.185,0.045,0.05,0.02,0.23,0.11
55,4.056621188502158,4.3658481652920065,0.0,0.005,0.665,0.43,0.225,0.055,0.035,0.035,0.215,0.115
56,4.0343689400662655,4.339049077950991,0.0,0.005,0.73,0.445,0.19,0.055,0.05,0.02,0.225,0.115
57,4.015708588528376,4.315066484304575,0.0,0.01,0.655,0.475,0.235,0.06,0.04,0.03,0.245,0.14
58,3.9966507460481377,4.293985353066371,0.0,0.01,0.685,0.48,0.24,0.06,0.04,0.02,0.255,0.12
59,3.980513055862919,4.276327779659858,0.0,0.01,0.735,0.455,0.235,0.06,0.055,0.025,0.26,0.165
60,3.9637568504579606,4.260782668223748,0.0,0.01,0.7,0.485,0.215,0.06,0.05,0.035,0.27,0.145
61,3.9475940017290014,4.246813682409433,0.0,0.01,0.71,0.47,0.205,0.065,0.085,0.03,0.285,0.135
62,3.932053187585646,4.233885311163389,0.0,0.01,0.705,0.455,0.24,0.06,0.06,0.03,0.275,0.16
63,3.9213369610489055,4.223091904933636,0.0,0.01,0.725,0.48,0.225,0.07,0.06,0.025,0.29,0.17
64,3.9094052396794803,4.2139726006067715,0.0,0.01,0.705,0.49,0.26,0.075,0.055,0.04,0.305,0.14
65,3.8972160447028377,4.205901664036971,0.0,0.01,0.665,0.485,0.23,0.08,0.08,0.02,0.295,0.155
66,3.896801867536319,4.20198720235091,0.0,0.01,0.73,0.445,0.235,0.08,0.04,0.03,0.315,0.155
67,3.875312760055706,4.191465217333573,0.0,0.01,0.69,0.53,0.26,0.075,0.035,0.025,0.31,0.19
68,3.866661842920447,4.185303591764891,0.0,0.01,0.71,0.525,0.245,0.08,0.075,0.035,0.325,0.17
69,3.854547721083446,4.178342732099386,0.0,0.01,0.74,0.46,0.265,0.08,0.065,0.03,0.31,0.195
