encoder,subject,within,cross,cc_retention,norm_drop,rank_corr
ATMS,sub-01,0.10625,0.02422222222222222,0.14776334776334774,0.8522366522366522,0.10299104362340926
ATMS,sub-02,0.09875,0.02775,0.2,0.8,0.09571517748846604
ATMS,sub-03,0.11875,0.024416666666666666,0.13256704980842912,0.8674329501915709,0.12532358641879304
ATMS,sub-04,0.135,0.02763888888888889,0.14111111111111113,0.8588888888888889,0.039841072548306086
ATMS,sub-05,0.08125,0.023916666666666666,0.19532163742690056,0.8046783625730993,0.11810838195354817
ATMS,sub-06,0.11875,0.025555555555555557,0.1430395913154534,0.8569604086845466,0.03277348037250929
ATMS,sub-07,0.15125,0.02175,0.0831858407079646,0.9168141592920355,0.045632687963780935
ATMS,sub-08,0.15625,0.02305555555555556,0.08926875593542262,0.9107312440645775,0.09429335158613
ATMS,sub-09,0.06375,0.023916666666666666,0.2589147286821705,0.7410852713178294,0.10553448015458662
ATMS,sub-10,0.13,0.027361111111111114,0.14467592592592593,0.8553240740740741,0.06850927041145281
LaBraM_ATMS,sub-01,0.0675,0.01938888888888889,0.16328502415458937,0.8367149758454108,0.12991437157994615
LaBraM_ATMS,sub-02,0.05125,0.026111111111111113,0.3905723905723906,0.6094276094276094,0.17922223051779743
LaBraM_ATMS,sub-03,0.07,0.021444444444444443,0.1907407407407407,0.8092592592592592,0.003269032934451186
LaBraM_ATMS,sub-04,0.0625,0.02161111111111111,0.22116402116402112,0.7788359788359789,-0.004657920909101755
LaBraM_ATMS,sub-05,0.03875,0.022444444444444444,0.43285024154589374,0.5671497584541063,0.14165118011754965
LaBraM_ATMS,sub-06,0.05625,0.020138888888888887,0.21921921921921916,0.7807807807807808,0.09886967398694631
LaBraM_ATMS,sub-07,0.07125,0.01933333333333333,0.15238095238095237,0.8476190476190477,0.15450448459617863
LaBraM_ATMS,sub-08,0.0875,0.02038888888888889,0.13405017921146956,0.8659498207885304,0.057985919006252135
LaBraM_ATMS,sub-09,0.0375,0.019333333333333334,0.33939393939393947,0.6606060606060606,0.04755767294817833
LaBraM_ATMS,sub-10,0.125,0.021277777777777777,0.09806763285024153,0.9019323671497583,0.03472672929653764
